期數,日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
93001.0,2004/1/5,6.0,9.0,12.0,13.0,33.0,39.0,21.0
93002.0,2004/1/8,16.0,21.0,27.0,30.0,31.0,47.0,35.0
93003.0,2004/1/12,2.0,4.0,25.0,26.0,34.0,43.0,41.0
93004.0,2004/1/15,18.0,19.0,28.0,29.0,30.0,34.0,12.0
93005.0,2004/1/19,14.0,15.0,20.0,29.0,32.0,39.0,43.0
93006.0,2004/1/22,13.0,28.0,29.0,32.0,33.0,34.0,43.0
93007.0,2004/1/26,2.0,6.0,13.0,34.0,40.0,44.0,14.0
93008.0,2004/1/29,22.0,29.0,34.0,36.0,44.0,46.0,37.0
93009.0,2004/2/2,4.0,6.0,11.0,22.0,42.0,48.0,23.0
93010.0,2004/2/5,17.0,22.0,26.0,29.0,37.0,43.0,31.0
93011.0,2004/2/9,14.0,17.0,20.0,25.0,43.0,48.0,15.0
93012.0,2004/2/12,1.0,2.0,26.0,31.0,39.0,40.0,38.0
93013.0,2004/2/16,7.0,13.0,18.0,19.0,25.0,37.0,14.0
93014.0,2004/2/19,4.0,21.0,25.0,32.0,37.0,43.0,2.0
93015.0,2004/2/23,3.0,6.0,17.0,23.0,28.0,32.0,45.0
93016.0,2004/2/26,8.0,12.0,23.0,24.0,45.0,46.0,36.0
93017.0,2004/3/1,1.0,11.0,17.0,25.0,41.0,45.0,32.0
93018.0,2004/3/4,12.0,15.0,22.0,23.0,41.0,48.0,17.0
93019.0,2004/3/8,8.0,12.0,17.0,18.0,19.0,34.0,37.0
93020.0,2004/3/11,8.0,14.0,21.0,22.0,30.0,31.0,48.0
93021.0,2004/3/15,1.0,2.0,7.0,26.0,38.0,43.0,4.0
93022.0,2004/3/18,6.0,16.0,20.0,25.0,33.0,46.0,12.0
93023.0,2004/3/22,2.0,12.0,14.0,30.0,41.0,46.0,29.0
93024.0,2004/3/25,11.0,17.0,21.0,36.0,43.0,49.0,5.0
93025.0,2004/3/29,11.0,13.0,15.0,21.0,35.0,38.0,37.0
93026.0,2004/4/1,3.0,7.0,42.0,45.0,46.0,49.0,8.0
93027.0,2004/4/5,16.0,24.0,25.0,26.0,39.0,44.0,30.0
93028.0,2004/4/8,5.0,14.0,26.0,38.0,41.0,43.0,4.0
93029.0,2004/4/12,24.0,25.0,26.0,30.0,36.0,48.0,45.0
93030.0,2004/4/15,13.0,14.0,20.0,30.0,37.0,45.0,1.0
93031.0,2004/4/19,13.0,17.0,19.0,26.0,39.0,45.0,11.0
93032.0,2004/4/22,3.0,11.0,19.0,20.0,22.0,28.0,13.0
93033.0,2004/4/26,22.0,25.0,29.0,31.0,34.0,46.0,49.0
93034.0,2004/4/29,1.0,10.0,13.0,33.0,34.0,46.0,7.0
93035.0,2004/5/3,3.0,9.0,13.0,28.0,40.0,48.0,39.0
93036.0,2004/5/6,6.0,27.0,40.0,44.0,45.0,47.0,11.0
93037.0,2004/5/10,3.0,4.0,10.0,23.0,25.0,26.0,33.0
93038.0,2004/5/13,4.0,10.0,11.0,14.0,32.0,36.0,9.0
93039.0,2004/5/17,2.0,4.0,18.0,20.0,32.0,49.0,30.0
93040.0,2004/5/20,6.0,28.0,30.0,34.0,43.0,46.0,9.0
93041.0,2004/5/24,1.0,16.0,17.0,30.0,36.0,49.0,44.0
93042.0,2004/5/27,6.0,22.0,27.0,34.0,42.0,44.0,36.0
93043.0,2004/5/31,1.0,17.0,30.0,31.0,32.0,45.0,33.0
93044.0,2004/6/3,1.0,4.0,31.0,32.0,34.0,35.0,33.0
93045.0,2004/6/7,6.0,15.0,25.0,37.0,41.0,49.0,3.0
93046.0,2004/6/10,2.0,10.0,16.0,22.0,30.0,33.0,41.0
93047.0,2004/6/14,5.0,12.0,41.0,43.0,45.0,46.0,33.0
93048.0,2004/6/17,5.0,11.0,30.0,34.0,44.0,48.0,40.0
93049.0,2004/6/21,6.0,9.0,11.0,17.0,22.0,36.0,44.0
93050.0,2004/6/24,11.0,17.0,29.0,36.0,44.0,49.0,33.0
93051.0,2004/6/28,12.0,17.0,19.0,22.0,27.0,42.0,48.0
93052.0,2004/7/1,6.0,10.0,11.0,16.0,29.0,44.0,37.0
93053.0,2004/7/5,7.0,19.0,27.0,31.0,42.0,46.0,39.0
93054.0,2004/7/8,4.0,5.0,7.0,13.0,24.0,30.0,49.0
93055.0,2004/7/12,3.0,4.0,8.0,25.0,36.0,42.0,32.0
93056.0,2004/7/15,2.0,5.0,32.0,38.0,42.0,49.0,44.0
93057.0,2004/7/19,2.0,3.0,7.0,26.0,30.0,49.0,6.0
93058.0,2004/7/22,11.0,15.0,24.0,27.0,37.0,46.0,1.0
93059.0,2004/7/26,1.0,15.0,28.0,38.0,41.0,42.0,24.0
93060.0,2004/7/29,20.0,31.0,33.0,40.0,42.0,46.0,30.0
93061.0,2004/8/2,3.0,11.0,19.0,21.0,40.0,42.0,14.0
93062.0,2004/8/5,13.0,14.0,21.0,24.0,27.0,30.0,20.0
93063.0,2004/8/9,5.0,17.0,19.0,26.0,28.0,43.0,25.0
93064.0,2004/8/12,11.0,16.0,27.0,33.0,34.0,40.0,7.0
93065.0,2004/8/16,5.0,6.0,11.0,16.0,19.0,42.0,10.0
93066.0,2004/8/19,10.0,22.0,31.0,32.0,41.0,48.0,24.0
93067.0,2004/8/23,13.0,29.0,31.0,38.0,45.0,46.0,43.0
93068.0,2004/8/26,14.0,31.0,34.0,37.0,42.0,48.0,29.0
93069.0,2004/8/30,4.0,22.0,28.0,29.0,44.0,47.0,32.0
93070.0,2004/9/2,9.0,16.0,18.0,32.0,41.0,47.0,46.0
93071.0,2004/9/6,12.0,25.0,26.0,31.0,36.0,42.0,29.0
93072.0,2004/9/9,7.0,13.0,14.0,20.0,21.0,49.0,34.0
93073.0,2004/9/13,8.0,10.0,11.0,21.0,23.0,44.0,42.0
93074.0,2004/9/16,7.0,19.0,26.0,37.0,38.0,46.0,29.0
93075.0,2004/9/20,5.0,6.0,8.0,9.0,10.0,43.0,13.0
93076.0,2004/9/23,1.0,15.0,16.0,33.0,35.0,48.0,10.0
93077.0,2004/9/27,26.0,27.0,40.0,41.0,42.0,43.0,28.0
93078.0,2004/9/30,7.0,13.0,15.0,20.0,22.0,47.0,19.0
93079.0,2004/10/4,12.0,15.0,21.0,23.0,25.0,35.0,24.0
93080.0,2004/10/7,3.0,6.0,19.0,22.0,31.0,32.0,5.0
93081.0,2004/10/11,1.0,7.0,10.0,32.0,42.0,45.0,26.0
93082.0,2004/10/14,4.0,23.0,36.0,39.0,45.0,47.0,25.0
93083.0,2004/10/18,10.0,21.0,23.0,25.0,38.0,42.0,33.0
93084.0,2004/10/21,3.0,10.0,20.0,21.0,24.0,48.0,26.0
93085.0,2004/10/25,6.0,13.0,30.0,34.0,38.0,44.0,48.0
93086.0,2004/10/28,10.0,12.0,13.0,24.0,31.0,40.0,47.0
93087.0,2004/11/1,1.0,10.0,25.0,28.0,38.0,49.0,23.0
93088.0,2004/11/4,23.0,26.0,31.0,33.0,36.0,38.0,21.0
93089.0,2004/11/8,12.0,24.0,25.0,27.0,34.0,36.0,39.0
93090.0,2004/11/11,9.0,12.0,17.0,28.0,40.0,43.0,13.0
93091.0,2004/11/15,8.0,11.0,14.0,17.0,23.0,33.0,30.0
93092.0,2004/11/18,7.0,11.0,20.0,38.0,39.0,45.0,30.0
93093.0,2004/11/22,2.0,14.0,27.0,28.0,44.0,49.0,30.0
93094.0,2004/11/25,3.0,4.0,9.0,10.0,27.0,31.0,26.0
93095.0,2004/11/29,4.0,12.0,23.0,30.0,35.0,48.0,46.0
93096.0,2004/12/2,5.0,16.0,23.0,28.0,38.0,47.0,49.0
93097.0,2004/12/6,2.0,8.0,11.0,12.0,26.0,35.0,47.0
93098.0,2004/12/9,16.0,28.0,35.0,44.0,46.0,48.0,26.0
93099.0,2004/12/13,5.0,15.0,24.0,37.0,38.0,39.0,6.0
93100.0,2004/12/16,2.0,12.0,18.0,22.0,34.0,36.0,8.0
93101.0,2004/12/20,3.0,4.0,13.0,26.0,39.0,42.0,18.0
93102.0,2004/12/23,3.0,5.0,18.0,23.0,40.0,45.0,41.0
93103.0,2004/12/27,1.0,8.0,16.0,22.0,24.0,30.0,14.0
93104.0,2004/12/30,3.0,18.0,33.0,34.0,43.0,49.0,2.0
94001.0,2005/1/3,5.0,10.0,27.0,37.0,39.0,46.0,8.0
94002.0,2005/1/6,6.0,23.0,39.0,45.0,46.0,47.0,18.0
94003.0,2005/1/10,1.0,3.0,14.0,17.0,36.0,49.0,10.0
94004.0,2005/1/13,1.0,2.0,15.0,21.0,31.0,35.0,33.0
94005.0,2005/1/17,7.0,14.0,16.0,38.0,45.0,49.0,25.0
94006.0,2005/1/20,1.0,23.0,26.0,27.0,33.0,41.0,18.0
94007.0,2005/1/24,14.0,17.0,30.0,31.0,36.0,47.0,28.0
94008.0,2005/1/27,3.0,25.0,39.0,44.0,45.0,48.0,13.0
94009.0,2005/1/31,2.0,17.0,31.0,35.0,37.0,46.0,3.0
94010.0,2005/2/3,7.0,8.0,19.0,30.0,43.0,48.0,49.0
94011.0,2005/2/7,11.0,31.0,41.0,44.0,47.0,49.0,25.0
94012.0,2005/2/10,19.0,26.0,28.0,33.0,38.0,46.0,48.0
94013.0,2005/2/14,5.0,7.0,24.0,26.0,30.0,47.0,36.0
94014.0,2005/2/17,12.0,14.0,21.0,23.0,25.0,30.0,3.0
94015.0,2005/2/21,6.0,11.0,21.0,22.0,35.0,41.0,27.0
94016.0,2005/2/24,2.0,4.0,36.0,41.0,42.0,48.0,34.0
94017.0,2005/2/28,14.0,21.0,25.0,27.0,43.0,47.0,5.0
94018.0,2005/3/3,25.0,28.0,31.0,32.0,34.0,36.0,43.0
94019.0,2005/3/7,1.0,6.0,16.0,34.0,36.0,40.0,38.0
94020.0,2005/3/10,1.0,3.0,16.0,31.0,42.0,48.0,23.0
94021.0,2005/3/14,5.0,12.0,19.0,21.0,33.0,42.0,9.0
94022.0,2005/3/17,7.0,10.0,12.0,22.0,30.0,34.0,8.0
94023.0,2005/3/21,2.0,5.0,6.0,19.0,38.0,45.0,1.0
94024.0,2005/3/24,7.0,10.0,23.0,44.0,45.0,47.0,38.0
94025.0,2005/3/28,1.0,2.0,9.0,25.0,28.0,44.0,42.0
94026.0,2005/3/31,20.0,22.0,28.0,38.0,41.0,47.0,25.0
94027.0,2005/4/4,5.0,15.0,28.0,29.0,33.0,40.0,26.0
94028.0,2005/4/7,5.0,15.0,23.0,29.0,31.0,44.0,17.0
94029.0,2005/4/11,2.0,6.0,9.0,24.0,27.0,45.0,49.0
94030.0,2005/4/14,18.0,20.0,25.0,36.0,48.0,49.0,21.0
94031.0,2005/4/18,11.0,20.0,40.0,41.0,45.0,49.0,36.0
94032.0,2005/4/21,4.0,5.0,22.0,33.0,36.0,43.0,26.0
94033.0,2005/4/25,1.0,16.0,25.0,34.0,36.0,38.0,41.0
94034.0,2005/4/28,4.0,5.0,15.0,20.0,29.0,39.0,34.0
94035.0,2005/5/2,1.0,3.0,29.0,35.0,43.0,47.0,40.0
94036.0,2005/5/5,5.0,14.0,18.0,34.0,44.0,47.0,10.0
94037.0,2005/5/9,1.0,2.0,7.0,9.0,16.0,29.0,15.0
94038.0,2005/5/12,15.0,28.0,29.0,31.0,32.0,47.0,18.0
94039.0,2005/5/16,1.0,6.0,11.0,37.0,41.0,44.0,4.0
94040.0,2005/5/19,2.0,4.0,14.0,24.0,27.0,46.0,28.0
94041.0,2005/5/23,2.0,8.0,9.0,10.0,21.0,31.0,44.0
94042.0,2005/5/26,3.0,9.0,16.0,18.0,41.0,48.0,22.0
94043.0,2005/5/30,4.0,8.0,11.0,15.0,16.0,25.0,43.0
94044.0,2005/6/2,4.0,15.0,21.0,30.0,41.0,46.0,48.0
94045.0,2005/6/6,3.0,4.0,9.0,10.0,28.0,45.0,37.0
94046.0,2005/6/9,4.0,6.0,13.0,22.0,30.0,44.0,5.0
94047.0,2005/6/13,9.0,14.0,25.0,31.0,36.0,46.0,40.0
94048.0,2005/6/16,8.0,12.0,16.0,25.0,28.0,45.0,49.0
94049.0,2005/6/20,4.0,20.0,22.0,28.0,47.0,48.0,43.0
94050.0,2005/6/23,4.0,10.0,18.0,34.0,40.0,43.0,3.0
94051.0,2005/6/27,10.0,17.0,22.0,37.0,43.0,49.0,8.0
94052.0,2005/6/30,2.0,4.0,5.0,9.0,35.0,45.0,48.0
94053.0,2005/7/4,2.0,15.0,17.0,31.0,32.0,38.0,11.0
94054.0,2005/7/7,6.0,12.0,21.0,27.0,36.0,48.0,18.0
94055.0,2005/7/11,1.0,11.0,14.0,18.0,35.0,43.0,25.0
94056.0,2005/7/14,3.0,22.0,31.0,43.0,46.0,47.0,14.0
94057.0,2005/7/18,7.0,11.0,13.0,25.0,30.0,40.0,6.0
94058.0,2005/7/21,11.0,22.0,26.0,28.0,33.0,37.0,42.0
94059.0,2005/7/25,5.0,12.0,25.0,27.0,41.0,44.0,18.0
94060.0,2005/7/28,9.0,14.0,24.0,27.0,37.0,41.0,12.0
94061.0,2005/8/1,2.0,13.0,16.0,36.0,44.0,47.0,21.0
94062.0,2005/8/4,9.0,20.0,26.0,29.0,40.0,41.0,21.0
94063.0,2005/8/8,24.0,28.0,37.0,38.0,43.0,45.0,18.0
